"Date and Time A1","Time (s) A1","Force (N) A1","Acceleration - x (m/s²) A1","Acceleration - y (m/s²) A1","Acceleration - z (m/s²) A1","Acceleration - resultant (m/s²) A1","Angular Velocity - x (rad/s) A1","Angular Velocity - y (rad/s) A1","Angular Velocity - z (rad/s) A1","Date and Time A2","Time (s) A2","Force (N) A2","Acceleration - x (m/s²) A2","Acceleration - y (m/s²) A2","Acceleration - z (m/s²) A2","Acceleration - resultant (m/s²) A2","Angular Velocity - x (rad/s) A2","Angular Velocity - y (rad/s) A2","Angular Velocity - z (rad/s) A2","Date and Time A3","Time (s) A3","Force (N) A3","Acceleration - x (m/s²) A3","Acceleration - y (m/s²) A3","Acceleration - z (m/s²) A3","Acceleration - resultant (m/s²) A3","Angular Velocity - x (rad/s) A3","Angular Velocity - y (rad/s) A3","Angular Velocity - z (rad/s) A3","Date and Time B1","Time (s) B1","Force (N) B1","Acceleration - x (m/s²) B1","Acceleration - y (m/s²) B1","Acceleration - z (m/s²) B1","Acceleration - resultant (m/s²) B1","Angular Velocity - x (rad/s) B1","Angular Velocity - y (rad/s) B1","Angular Velocity - z (rad/s) B1","Date and Time B2","Time (s) B2","Force (N) B2","Acceleration - x (m/s²) B2","Acceleration - y (m/s²) B2","Acceleration - z (m/s²) B2","Acceleration - resultant (m/s²) B2","Angular Velocity - x (rad/s) B2","Angular Velocity - y (rad/s) B2","Angular Velocity - z (rad/s) B2","Date and Time B3","Time (s) B3","Force (N) B3","Acceleration - x (m/s²) B3","Acceleration - y (m/s²) B3","Acceleration - z (m/s²) B3","Acceleration - resultant (m/s²) B3","Angular Velocity - x (rad/s) B3","Angular Velocity - y (rad/s) B3","Angular Velocity - z (rad/s) B3","Date and Time Control 1","Time (s) Control 1","Force (N) Control 1","Acceleration - x (m/s²) Control 1","Acceleration - y (m/s²) Control 1","Acceleration - z (m/s²) Control 1","Acceleration - resultant (m/s²) Control 1","Angular Velocity - x (rad/s) Control 1","Angular Velocity - y (rad/s) Control 1","Angular Velocity - z (rad/s) Control 1","Date and Time Control 2","Time (s) Control 2","Force (N) Control 2","Acceleration - x (m/s²) Control 2","Acceleration - y (m/s²) Control 2","Acceleration - z (m/s²) Control 2","Acceleration - resultant (m/s²) Control 2","Angular Velocity - x (rad/s) Control 2","Angular Velocity - y (rad/s) Control 2","Angular Velocity - z (rad/s) Control 2","Date and Time Control 3","Time (s) Control 3","Force (N) Control 3","Acceleration - x (m/s²) Control 3","Acceleration - y (m/s²) Control 3","Acceleration - z (m/s²) Control 3","Acceleration - resultant (m/s²) Control 3","Angular Velocity - x (rad/s) Control 3","Angular Velocity - y (rad/s) Control 3","Angular Velocity - z (rad/s) Control 3"
05/25/2023 09:17:13 am,0.000,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.000,0.02,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.000,0.02,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.000,0.00,0.0,0.1,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.000,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.000,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.000,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.000,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.000,0.01,0.0,0.0,0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.002,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.002,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.002,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.002,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.002,0.01,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.002,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.002,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.004,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.004,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.004,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.004,0.00,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.004,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.004,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.004,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.004,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.004,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.006,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.006,0.02,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.006,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.006,0.01,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.006,-0.01,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.006,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.006,0.00,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.006,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.006,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.008,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.008,0.02,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.008,0.02,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.008,0.01,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.008,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.008,0.00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.008,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.008,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.008,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.010,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.010,0.02,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.010,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.010,0.01,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.010,0.01,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.010,0.00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.010,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.010,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.010,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.012,0.00,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.012,0.01,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.012,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.012,0.00,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.012,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.012,0.00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.012,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.012,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.014,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.014,0.02,0.0,0.1,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.014,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.014,0.00,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.014,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.014,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.014,0.00,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.014,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.016,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.016,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.016,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.016,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.016,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.016,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.016,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.016,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.016,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0
05/25/2023 09:17:13 am,0.018,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:18:03 am,0.018,0.01,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:18:34 am,0.018,0.02,0.0,0.1,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:20:18 am,0.018,0.01,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:21:15 am,0.018,0.00,0.1,0.2,0.0,0.2,0.0,0.0,0.0,05/25/2023 09:22:04 am,0.018,0.00,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:23:12 am,0.018,0.01,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,05/25/2023 09:24:08 am,0.018,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,05/25/2023 09:24:20 am,0.018,0.02,0.0,0.1,-0.1,0.1,0.0,0.0,0.0
