Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
0.002,0.02,0.002,0.01,0.002,0.01,0.002,0.01,0.002,0.01,0.002,0.0,0.002,0.0,0.002,0.01,0.002,0.0
0.004,0.01,0.004,0.01,0.004,0.01,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.0,0.004,0.01,0.004,0.01
0.006,0.01,0.006,0.02,0.006,0.01,0.006,0.01,0.006,-0.01,0.006,0.0,0.006,0.0,0.006,0.0,0.006,0.0
0.008,0.01,0.008,0.02,0.008,0.02,0.008,0.01,0.008,0.0,0.008,0.0,0.008,0.0,0.008,0.01,0.008,-0.01
0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,-0.01
0.012,0.0,0.012,0.01,0.012,0.02,0.012,0.0,0.012,0.0,0.012,0.0,0.012,0.0,0.012,0.0,0.012,0.0
0.014,0.01,0.014,0.02,0.014,0.02,0.014,0.0,0.014,0.0,0.014,0.01,0.014,0.0,0.014,0.0,0.014,-0.01
0.016,0.01,0.016,0.02,0.016,0.02,0.016,0.01,0.016,0.0,0.016,0.01,0.016,0.0,0.016,0.0,0.016,0.0
0.018,0.01,0.018,0.01,0.018,0.02,0.018,0.01,0.018,0.0,0.018,0.0,0.018,0.0,0.018,0.0,0.018,0.0
0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,-0.01
0.022,0.01,0.022,0.01,0.022,0.01,0.022,0.0,0.022,0.01,0.022,0.0,0.022,-0.01,0.022,0.0,0.022,0.0
0.024,0.01,0.024,0.02,0.024,0.01,0.024,0.01,0.024,0.0,0.024,0.0,0.024,-0.01,0.024,0.0,0.024,0.0
0.026,0.02,0.026,0.01,0.026,0.01,0.026,0.01,0.026,0.0,0.026,0.0,0.026,-0.02,0.026,0.01,0.026,0.0
0.028,0.01,0.028,0.0,0.028,0.01,0.028,0.0,0.028,0.0,0.028,0.0,0.028,-0.01,0.028,0.01,0.028,0.0
0.03,0.01,0.03,0.01,0.03,0.02,0.03,0.01,0.03,0.0,0.03,0.0,0.03,-0.01,0.03,0.01,0.03,0.0
0.032,0.01,0.032,0.02,0.032,0.02,0.032,0.0,0.032,0.0,0.032,0.0,0.032,-0.01,0.032,0.01,0.032,0.01
0.034,0.01,0.034,0.01,0.034,0.01,0.034,0.0,0.034,0.01,0.034,0.0,0.034,0.0,0.034,0.01,0.034,0.0
0.036,0.01,0.036,0.02,0.036,0.02,0.036,0.0,0.036,-0.01,0.036,0.0,0.036,-0.01,0.036,0.0,0.036,0.01
0.038,0.01,0.038,0.02,0.038,0.02,0.038,0.0,0.038,0.0,0.038,0.01,0.038,0.0,0.038,0.01,0.038,0.01
0.04,0.01,0.04,0.02,0.04,0.01,0.04,0.0,0.04,0.0,0.04,0.01,0.04,0.0,0.04,0.01,0.04,0.0
0.042,0.02,0.042,0.01,0.042,0.01,0.042,0.01,0.042,0.0,0.042,0.01,0.042,0.0,0.042,0.01,0.042,-0.01
0.044,0.01,0.044,0.02,0.044,0.01,0.044,0.01,0.044,0.0,0.044,0.0,0.044,0.0,0.044,0.01,0.044,0.0
0.046,0.02,0.046,0.01,0.046,0.02,0.046,0.0,0.046,0.0,0.046,0.0,0.046,0.0,0.046,0.0,0.046,0.01
0.048,0.02,0.048,0.03,0.048,0.02,0.048,0.01,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0
0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.0,0.05,0.0,0.05,-0.01,0.05,0.01,0.05,-0.01
0.052,0.02,0.052,0.02,0.052,0.02,0.052,0.0,0.052,0.0,0.052,0.0,0.052,-0.01,0.052,0.01,0.052,0.0
0.054,0.02,0.054,0.02,0.054,0.01,0.054,0.01,0.054,0.0,0.054,0.0,0.054,0.0,0.054,0.01,0.054,0.0
0.056,0.02,0.056,0.01,0.056,0.01,0.056,0.0,0.056,0.0,0.056,-0.01,0.056,0.0,0.056,0.01,0.056,0.0
0.058,0.02,0.058,0.02,0.058,0.01,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.01
0.06,0.01,0.06,0.03,0.06,0.01,0.06,0.01,0.06,0.01,0.06,0.0,0.06,0.0,0.06,0.01,0.06,0.01
