Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
-3.724,0.01,-0.914,0.02,-4.278,0.02,-1.582,0.0,-6.562,0.0,-2.124,0.0,-1.846,0.01,-4.34,0.01,-8.69,0.0
-3.7220000000000004,0.02,-0.912,0.01,-4.276,0.01,-1.58,0.01,-6.5600000000000005,0.01,-2.1220000000000003,0.0,-1.844,0.0,-4.338,0.01,-8.687999999999999,0.0
-3.72,0.01,-0.91,0.01,-4.274,0.01,-1.578,0.0,-6.558000000000001,0.0,-2.12,0.0,-1.842,0.0,-4.336,0.01,-8.686,0.01
-3.7180000000000004,0.01,-0.908,0.02,-4.271999999999999,0.01,-1.576,0.01,-6.556,-0.01,-2.1180000000000003,0.0,-1.84,0.0,-4.334,0.0,-8.684,0.0
-3.716,0.01,-0.906,0.02,-4.27,0.02,-1.574,0.01,-6.554,0.0,-2.116,0.0,-1.838,0.0,-4.332,0.01,-8.682,-0.01
-3.7140000000000004,0.01,-0.904,0.02,-4.268,0.01,-1.572,0.01,-6.5520000000000005,0.01,-2.1140000000000003,0.0,-1.836,0.0,-4.33,0.01,-8.68,-0.01
-3.712,0.0,-0.902,0.01,-4.266,0.02,-1.57,0.0,-6.550000000000001,0.0,-2.112,0.0,-1.834,0.0,-4.328,0.0,-8.677999999999999,0.0
-3.7100000000000004,0.01,-0.9,0.02,-4.263999999999999,0.02,-1.568,0.0,-6.548,0.0,-2.1100000000000003,0.01,-1.832,0.0,-4.326,0.0,-8.676,-0.01
-3.708,0.01,-0.898,0.02,-4.262,0.02,-1.566,0.01,-6.546,0.0,-2.108,0.01,-1.83,0.0,-4.324,0.0,-8.674,0.0
-3.7060000000000004,0.01,-0.896,0.01,-4.26,0.02,-1.564,0.01,-6.5440000000000005,0.0,-2.1060000000000003,0.0,-1.828,0.0,-4.322,0.0,-8.671999999999999,0.0
